"站名","站點"
"1A","台南公園"
"1B","興濟宮.大觀音亭"
"1C","臺南火車站"
"1D","縣知事官邸"
"1E","東門圓環"
"1F","延平郡王祠"
"1G","法華寺"
"1H","大東夜市"
"1I","文化中心"
"1J","巴克禮公園"
"1K","台糖長榮酒店"
"1L","大林商圈"
"1M","竹溪寺"
"1N","體育公園"
"1O","大南門城"
"1P","孔廟"
"1Q","山林事務所"
"1R","鄭氏家廟"
"1S","天壇"
"1T","赤嵌樓"
"1U","水仙宮"
"1V","神農街"
"1W","中正商圈"
"1X","小西門.大億麗緻."
"1Y","水萍塭公園"
"1Z","市政中心"
"2A","億載金城"
"2B","德陽艦"
"2C","林默娘公園"
"2D","安平港濱歷史公園"
"2E","原住民文化會館"
"2F","運河博物館"
"2G","延平街"
"2H","安平蚵灰窯文化館"
"2I","安平古堡"
"2J","德記洋行.安平樹屋"
"2K","古運河"
"2L","碧海碼頭"
"2M","觀夕平台"
