"站名","站名99號公車","得分"
"1A","香格里拉飯店",326
"1B","興濟宮.大觀音亭.1",335
"1C","大遠百",350
"1D","承天橋口",350
"1E","接官亭",364
"1F","六孔管理站",371
"1G","臺南火車站.1",393
"1H","龍山村",397
"1I","台南醫院.新光三越",411
"1J","吳園",460
"1K","台南公",472
"1L","水仙宮.西門路.",477
"1M","勝利路",481
"1N","望月橋",484
"1O","安平蚵灰窯文化",491
"1P","古運河.1",495
"1Q","成功大學",498
"1R","四草大橋東",500
"1S","台南公園.北門路.",504
"1T","海寮碼頭",504
"1U","台江國家公園管理處",545
"1V","海寮紅樹林驛站",558
"1W","黑面琵鷺展示館",574
"1X","鹿耳門聖母廟",598
"1Y","台灣鹽博物館.1",619
"1Z","四草野生動物保護區",621
"2A","黑面琵鷺賞鳥亭",646
"2B","四草生態文化園區.大眾廟.",664
"2C","台灣鹽博物館",672
"2D","德記洋行.安平樹屋.1",676
"2E","鹿耳門天后宮",678
"2F","七股鹽山.1",700
"2G","安平古堡.1",718
"2H","七股鹽山",726
"2I","赤嵌樓.1",737
